titleSlug,QID,difficulty,genre
two-sum,1,easy,hashmap
add-two-numbers,2,medium,linked_list
longest-substring-without-repeating-characters,3,medium,sliding_window
median-of-two-sorted-arrays,4,hard,binary_search
longest-palindromic-substring,5,medium,sliding_window
zigzag-conversion,6,medium,strings
reverse-integer,7,medium,math
string-to-integer-atoi,8,medium,strings
palindrome-number,9,easy,strings
regular-expression-matching,10,hard,unknown
container-with-most-water,11,medium,two_pointers
integer-to-roman,12,medium,unknown
roman-to-integer,13,easy,unknown
longest-common-prefix,14,easy,unknown
3sum,15,medium,two_pointers
3sum-closest,16,medium,two_pointers
letter-combinations-of-a-phone-number,17,medium,backtracking
4sum,18,unknown,hashmap
remove-nth-node-from-end-of-list,19,medium,unknown
valid-parentheses,20,easy,unknown
merge-two-sorted-lists,21,easy,unknown
generate-parentheses,22,medium,unknown
merge-k-sorted-lists,23,hard,unknown
swap-nodes-in-pairs,24,unknown,unknown
reverse-nodes-in-k-group,25,unknown,unknown
